"filename", "language", "Markdown", "JSON", "Dart", "C++", "CMake", "YAML", "HTML", "Swift", "Firebase Rules", "XML", "Batch", "Properties", "comment", "blank", "total"
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\custom_dialog.dart", "Dart", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 91
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\draggable_fab.dart", "Dart", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 109
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\empty_state_widget.dart", "Dart", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 64
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\filter_pill.dart", "Dart", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 114
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\icon_color_picker.dart", "Dart", 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 146
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\image_picker_widget.dart", "Dart", 0, 0, 181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 191
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\loading_overlay.dart", "Dart", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 51
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\responsive_app_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\responsive_container.dart", "Dart", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 44
"e:\web_project2\ceyiz_diz\lib\presentation\widgets\common\web_frame.dart", "Dart", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 37
"e:\web_project2\ceyiz_diz\linux\CMakeLists.txt", "CMake", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 25, 129
"e:\web_project2\ceyiz_diz\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"e:\web_project2\ceyiz_diz\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"e:\web_project2\ceyiz_diz\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"e:\web_project2\ceyiz_diz\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
